text,label
"Patients may have had prior therapy including sipuleucel-T, radium-223, abiraterone, ketoconazole, and/or Tak-700",LABEL_1
"Men of reproductive potential and those who are surgically sterilized (i.e., postvasectomy) must agree to practice effective barrier contraception that has an expected failure rate of < 1% during and for 6 months after discontinuation of study treatment
* If condoms are used as a barrier contraceptive, a spermicidal agent should be added to ensure that pregnancy does not occur",LABEL_1
Patients may be receiving continuous hormonal ablation with surgical or medical castration with baseline testosterone < 50ng/dL,LABEL_1
"If the patient is a woman is of childbearing potential, a serum pregnancy test, obtained within 14 days prior to step 2 registration, must be negative, and, if randomized to receive radiation therapy, the woman must agree to use contraception",LABEL_1
"Patients must have had endocrine therapy initiated or planned for >= 5 years; premenopausal women will receive ovarian ablation plus aromatase inhibitor therapy or tamoxifen if adjuvant chemotherapy was not administered; for all patients, endocrine therapy can be given concurrently or following RT",LABEL_1
Patients may or may not have had adjuvant chemotherapy,LABEL_1
"RT must commence within 16 weeks of definitive surgery if the patient is not treated with chemotherapy; if adjuvant chemotherapy is given, RT must begin within 12 weeks after the last dose; (Note: adjuvant chemotherapy may be ongoing at the time of randomization)
* Note: Definitive surgery is defined as the last breast cancer-related surgery",LABEL_1
"Women of childbearing potential must have agreed to use an effective contraceptive method; a woman is considered to be of ""childbearing potential"" if she has had menses at any time in the preceding 12 consecutive months; in addition to routine contraceptive methods, ""effective contraception"" also includes heterosexual celibacy and surgery intended to prevent pregnancy (or with a side-effect of pregnancy prevention) defined as a hysterectomy, bilateral oophorectomy or bilateral tubal ligation, or vasectomy/vasectomized partner; however, if at any point a previously celibate patient chooses to become heterosexually active during the time period for use of contraceptive measures outlined in the protocol, she is responsible for beginning contraceptive measures
* Women of childbearing potential will have a pregnancy test to determine eligibility as part of the Pre-Study Evaluation; this may include an ultrasound to rule-out pregnancy if a false-positive is suspected; for example, when beta-human chorionic gonadotropin is high and partner is vasectomized, it may be associated with tumor production of human chorionic gonadotropin (hCG), as seen with some cancers; patient will be considered eligible if an ultrasound is negative for pregnancy",LABEL_1
Subjects with an intolerance to bendamustine may be allowed to enroll at the discretion of the clinical investigator if he/she thinks that the subject is a candidate for lymphodepletion with cyclophosphamide and fludarabine.,LABEL_1
"Female subject of childbearing potential should have a negative urine or serum pregnancy within 2 weeks prior to receiving the first dose of study medication. On the day of planned treatment, if a blood pregnancy test has not been performed within the two week window, a stat pregnancy test (urine or blood) should be performed and the results reviewed before treatment is begun",LABEL_1
"Male subjects must agree to use an adequate method of contraception and refrain from donating sperm, starting with the first dose of study therapy through 5 months after the last dose of study therapy.
* Note: Abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject",LABEL_1
Patients are allowed to have had other lines of therapy since last platinum if PFI after platinum therapy meets platinum sensitive criteria.,LABEL_1
"Patients with a history of immunosuppressant (infliximab, vedolizumab etc) use before FMT can be allowed if last dose was administered >= 3 months prior to FMT treatment when used for the treatment of conditions other than for ICI- induced GI toxicities (e.g., infliximab is used in the treatment of Crohn’s disease, rheumatoid arthritis, plaque psoriasis, and vedolizumab is used in treating ulcerative colitis)",LABEL_1
Patients who have already started on post-prostatectomy GnRH agonist/antagonist for =< 180 days prior to registration are eligible (Note: patients who started on an oral antiandrogen are eligible if started =< 180 days and stopped prior to registration),LABEL_1
